Employee_ID,Employee_Name,Login_Timestamp,Logout_Timestamp,IP_Address,Device_ID,File_Accessed,File_Access_Count,Transaction_ID,Transaction_Amount,Access_Location,Access_Time_Category,Risk_Score
E2324,Timothy Alexander,21-04-2025 11:55,11-04-2025 02:08,104.188.94.92,DVC924,forward.docx,3,T58203,27180.0,Juliaside,Business Hours,
E2191,Nicole Murphy,22-04-2025 01:57,03-05-2025 02:51,137.30.213.126,DVC581,ago.csv,4,T83412,28836.0,Alyssabury,Business Hours,
E2266,Anita Castillo,02-05-2025 20:57,29-04-2025 00:48,62.154.230.129,DVC571,he.docx,4,T91806,38378.0,Port Mirandaburgh,Business Hours,
E2499,Brittany Lewis,22-04-2025 15:32,21-04-2025 16:55,199.79.212.113,DVC935,yard.docx,2,T68283,24780.0,East Natalieborough,After Hours,
E2219,Jay Brown,18-04-2025 15:24,11-04-2025 08:25,77.164.115.30,DVC549,along.docx,3,T50628,36595.0,Susanberg,After Hours,
E2480,Alison Berry,12-04-2025 15:34,23-04-2025 23:34,92.126.75.232,DVC557,catch.csv,3,T38902,20165.0,West Ashleychester,Business Hours,
E2436,David Sims,14-04-2025 09:37,12-04-2025 23:06,176.135.221.131,DVC695,choose.xlsx,2,T43218,9959.0,Ryanberg,Business Hours,
E2067,Frank Bennett,05-05-2025 04:55,15-04-2025 05:06,75.125.128.76,DVC676,let.xlsx,5,T78503,154481.0,New Janetberg,Business Hours,
E2164,Douglas Mendez,19-04-2025 07:45,25-04-2025 17:44,171.53.205.144,DVC664,girl.csv,3,T59699,33698.0,Sarahborough,After Hours,
E2295,Tina Gonzalez,13-04-2025 00:47,10-04-2025 11:08,18.117.91.149,DVC564,past.csv,1,T34910,18573.0,Lake Kristenburgh,After Hours,
E2029,Jennifer Nelson,15-04-2025 01:26,15-04-2025 12:50,185.44.89.188,DVC962,contain.csv,2,T62547,33900.0,Hornefort,Business Hours,
E2271,Devon Parker,22-04-2025 01:03,01-05-2025 10:42,166.226.0.209,DVC907,theory.csv,4,T48137,42295.0,Garciafort,After Hours,
E2068,Keith Beltran,27-04-2025 09:17,14-04-2025 15:09,182.188.95.125,DVC583,organization.xlsx,11,T86689,199948.0,East Hunter,Business Hours,
E2439,James Howard,26-04-2025 14:21,09-04-2025 06:09,122.182.193.193,DVC664,rate.csv,3,T65678,25296.0,West Lori,Business Hours,
E2248,Larry Holt,15-04-2025 14:55,19-04-2025 05:05,159.222.4.131,DVC615,billion.xlsx,1,T13155,17832.0,Jonesshire,After Hours,
E2207,Marcus Morris,05-05-2025 15:20,14-04-2025 20:02,194.93.227.35,DVC864,teacher.docx,2,T46148,37904.0,Danafort,After Hours,
E2376,John Thomas,06-05-2025 04:56,17-04-2025 05:38,95.136.181.58,DVC546,series.csv,4,T87137,19025.0,South Davidmouth,Business Hours,
E2453,Bethany Mccoy,14-04-2025 22:26,23-04-2025 15:11,91.2.106.49,DVC660,add.csv,1,T75058,15536.0,South James,Business Hours,
E2467,Robert Ross,21-04-2025 13:17,02-05-2025 21:54,168.187.150.132,DVC724,see.csv,3,T60662,8681.0,Masonbury,After Hours,
E2482,Jonathan Stephenson,06-05-2025 12:15,06-05-2025 01:56,56.72.69.241,DVC619,girl.csv,2,T86064,2357.0,West Loritown,After Hours,
E2290,Ashley Mendez,25-04-2025 02:36,04-05-2025 22:04,222.186.237.223,DVC914,knowledge.xlsx,1,T96447,25058.0,Adamsberg,Business Hours,
E2110,Anna Griffin,07-05-2025 03:35,29-04-2025 01:26,132.9.10.79,DVC594,sea.csv,2,T81440,28939.0,East Michaeltown,After Hours,
E2395,Stacy Craig,28-04-2025 21:40,26-04-2025 21:09,52.35.70.186,DVC954,mother.csv,4,T94514,37768.0,East Jessica,Business Hours,
E2434,John Rollins,01-05-2025 11:15,04-05-2025 14:06,189.32.146.103,DVC723,continue.xlsx,2,T72724,23704.0,Emilyland,After Hours,
E2199,Nathan Krause,11-04-2025 05:35,18-04-2025 14:18,87.168.229.184,DVC531,end.csv,2,T41246,42195.0,North James,Business Hours,
E2017,Cody Miller,30-04-2025 14:02,28-04-2025 21:47,202.148.45.114,DVC977,its.xlsx,3,T17155,20978.0,Vargasfort,After Hours,
E2377,Victor Goodman,16-04-2025 14:51,20-04-2025 07:16,66.221.209.182,DVC520,still.xlsx,1,T38763,17918.0,Marshallfurt,After Hours,
